"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population
Iran,962070,"+13,321",48246.0,+371,668151.0,245673.0,5852.0,11393.0,571.0,6125348.0,72540.0,84441283.0
South Africa,790004,"+2,302",21535.0,+58,731242.0,37227.0,546.0,13251.0,361.0,5383078.0,90289.0,59620588.0
Ukraine,732625,"+9,946",12327.0,+114,345149.0,375149.0,177.0,16795.0,283.0,4528772.0,103818.0,43622309.0
Turkey,638847,"+31,219",13746.0,+188,404727.0,220374.0,5190.0,7541.0,162.0,18592292.0,219460.0,84718281.0
Belgium,576599,"+2,151",16547.0,+86,37383.0,522669.0,906.0,49660.0,1425.0,5896314.0,507829.0,11610826.0
Iraq,552549,"+2,114",12258.0,+34,482674.0,57617.0,293.0,13611.0,302.0,3483319.0,85806.0,40595257.0
Chile,551743,"+1,313",15410.0,+54,526604.0,9729.0,690.0,28759.0,803.0,5333453.0,278003.0,19184910.0
Indonesia,538883,"+4,617",16945.0,+130,450518.0,71420.0,,1961.0,62.0,5695747.0,20732.0,274732402.0
Netherlands,523478,"+4,568",9376.0,+27,,,512.0,30522.0,547.0,4043482.0,235760.0,17150840.0
Czechia,523298,"+3,575",8295.0,+157,451607.0,63396.0,689.0,48827.0,774.0,3065132.0,285997.0,10717351.0
Romania,475362,"+3,826",11331.0,+138,353188.0,110843.0,1251.0,24780.0,591.0,4107567.0,214123.0,19183223.0
Bangladesh,464932,"+2,525",6644.0,+35,380711.0,77577.0,,2811.0,40.0,2772701.0,16766.0,165375504.0
Philippines,431627,"+1,770",8391.0,+18,398647.0,24589.0,1401.0,3917.0,76.0,5781326.0,52467.0,110189008.0
Pakistan,398024,"+2,839",8025.0,+40,341423.0,48576.0,2046.0,1788.0,36.0,5508810.0,24740.0,222669232.0
Canada,378139,"+7,861",12130.0,+98,299972.0,66037.0,492.0,9982.0,320.0,11475642.0,302942.0,37880692.0
Saudi Arabia,357360,+232,5896.0,+12,346802.0,4662.0,659.0,10199.0,168.0,9615942.0,274433.0,35039355.0
Morocco,356336,"+2,533",5846.0,+57,305291.0,45199.0,1038.0,9607.0,158.0,3953900.0,106594.0,37093176.0
Israel,336846,"+1,248",2865.0,+1,323749.0,10232.0,260.0,36623.0,311.0,5605071.0,609406.0,9197590.0
Switzerland,327072,"+8,782",4815.0,+165,250200.0,72057.0,490.0,37676.0,555.0,2734165.0,314954.0,8681155.0
Portugal,298061,"+3,262",4505.0,+78,212942.0,80614.0,525.0,29267.0,442.0,4353234.0,427453.0,10184130.0
Austria,282456,"+2,748",3184.0,+79,221692.0,57580.0,701.0,31287.0,353.0,3098318.0,343191.0,9027973.0
Sweden,260758,"+3,159",6774.0,+3,,,221.0,25752.0,669.0,3174798.0,313539.0,10125691.0
Nepal,233452,"+1,474",1508.0,+29,214521.0,17423.0,,7953.0,51.0,1737747.0,59199.0,29354228.0
Jordan,219430,"+5,123",2751.0,+57,155026.0,61653.0,462.0,21417.0,269.0,2551231.0,249010.0,10245492.0
Hungary,217122,"+5,595",4823.0,+151,63860.0,148439.0,666.0,22500.0,500.0,1648022.0,170780.0,9649976.0
Ecuador,192685,+568,13461.0,+38,169804.0,9420.0,372.0,10853.0,758.0,651702.0,36706.0,17754516.0
Serbia,175438,"+6,224",1604.0,+55,31536.0,142298.0,253.0,20113.0,184.0,1777582.0,203793.0,8722467.0
UAE,168860,"+1,107",572.0,+2,154899.0,13389.0,,16987.0,58.0,16727741.0,1682825.0,9940271.0
Panama,165806,"+1,077",3079.0,+19,144462.0,18265.0,167.0,38178.0,709.0,907285.0,208907.0,4343010.0
Japan,146760,"+2,107",2119.0,+13,123445.0,21196.0,472.0,1162.0,17.0,3502536.0,27729.0,126312634.0
Bulgaria,145300,"+2,814",4035.0,+221,50565.0,90700.0,457.0,20978.0,583.0,973251.0,140517.0,6926229.0
Bolivia,144622,+30,8952.0,+3,121472.0,14198.0,71.0,12319.0,763.0,360189.0,30682.0,11739369.0
Dominican Republic,143988,+515,2331.0,+1,115219.0,26438.0,192.0,13218.0,214.0,718735.0,65979.0,10893397.0
Kuwait,142635,+209,880.0,+2,137071.0,4684.0,84.0,33195.0,205.0,1095574.0,254971.0,4296858.0
Costa Rica,139638,+539,1726.0,+11,87526.0,50386.0,211.0,27307.0,338.0,397311.0,77697.0,5113586.0
Qatar,138833,+185,237.0,,136090.0,2506.0,32.0,49445.0,84.0,1112430.0,396192.0,2807805.0
